ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "КЛУБ МОРЯКОВ "ФОРТУНА"q2502029222qОквэд не указан
"КРОВЛЯ" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2536013862qОквэд не указан
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ЦЕНТР НАУКА,ТЕХНИКА,БИЗНЕС"q2536005773qОквэд не указан
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "АВИОР"q2536023155qОквэд не указан
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ВНЕДРЕНЧЕСКАЯ ФИРМА "ТЭРУС"q2536006174qОквэд не указан
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ " БОНАЗ"q2536018564qОквэд не указан
ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ "ДИЖЕВИР"q2536004240qОквэд не указан
"РАПИРА-С" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537038002qОквэд не указан
"ПОДЗЕМСТРОЙ-УПТК" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537037640qОквэд не указан
"ЭНЕРГЕТИК" НАУЧНО-ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537041541qОквэд не указан
"БЕЛАЯ ЛАДЬЯ" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537031769qОквэд не указан
"КОРТ-2" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537034657qОквэд не указан
"ОМЕЛИЯ" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537032794qОквэд не указан
"ЛЕМКЕ" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537044006qОквэд не указан
"ДОКАСТР" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮq2537045144qОквэд не указан
"ПРИХАНКАЙСКОЕ РАЙОННОЕ ПОТРЕБИТЕЛЬСКОЕ ОБЩЕСТВО"q2530000070qОквэд не указан
